time,open,high,low,close,tick_volume,spread,real_volume
2020-08-01 00:00:00+00:00,105.77,107.05,105.101,105.9,1354553,1,0
2020-09-01 00:00:00+00:00,105.897,106.551,104.0,105.458,1088291,1,0
2020-10-01 00:00:00+00:00,105.458,106.107,104.025,104.668,954418,1,0
2020-11-01 00:00:00+00:00,104.445,105.676,103.177,104.289,1105500,1,0
2020-12-01 00:00:00+00:00,104.284,104.753,102.874,103.162,1052218,1,0
2021-01-01 00:00:00+00:00,103.095,104.939,102.592,104.724,995337,0,0
2021-02-01 00:00:00+00:00,104.768,106.693,104.409,106.55,922843,1,0
2021-03-01 00:00:00+00:00,106.502,110.965,106.364,110.685,1333413,0,0
2021-04-01 00:00:00+00:00,110.69,110.847,107.476,109.33,1190025,1,0
2021-05-01 00:00:00+00:00,109.274,110.199,108.335,109.549,1162153,0,0
2021-06-01 00:00:00+00:00,109.55,111.121,109.188,111.099,1306539,1,0
2021-07-01 00:00:00+00:00,111.105,111.658,109.063,109.66,1408245,1,0
2021-08-01 00:00:00+00:00,109.507,110.801,108.721,109.988,1148616,1,0
2021-09-01 00:00:00+00:00,109.988,112.078,109.112,111.272,1089176,1,0
2021-10-01 00:00:00+00:00,111.25,114.7,110.822,113.962,1282207,1,0
2021-11-01 00:00:00+00:00,114.05,115.523,112.531,113.131,1626321,1,0
2021-12-01 00:00:00+00:00,113.125,115.207,112.558,115.095,1416219,1,0
2022-01-01 00:00:00+00:00,115.066,116.348,113.468,115.034,1338646,1,0
2022-02-01 00:00:00+00:00,115.034,116.336,114.153,114.977,1570971,1,0
2022-03-01 00:00:00+00:00,114.976,125.097,114.649,121.618,2115442,1,0
2022-04-01 00:00:00+00:00,121.602,131.252,121.596,129.867,2446839,1,0
2022-05-01 00:00:00+00:00,129.739,131.349,126.356,128.616,2725924,1,0
2022-06-01 00:00:00+00:00,128.569,137.003,128.56,135.711,3392926,1,0
2022-07-01 00:00:00+00:00,135.709,139.39,132.501,133.223,2748534,0,0
2022-08-01 00:00:00+00:00,133.25,139.075,130.396,138.955,3341717,0,0
2022-09-01 00:00:00+00:00,138.955,145.9,138.748,144.796,4112849,0,0
2022-10-01 00:00:00+00:00,144.694,151.941,143.524,148.643,3663689,0,0
2022-11-01 00:00:00+00:00,148.62,148.826,137.495,138.053,4893508,0,0
2022-12-01 00:00:00+00:00,138.053,138.174,130.563,131.108,5141142,0,0
2023-01-01 00:00:00+00:00,130.724,134.772,127.216,130.055,5028153,0,0
2023-02-01 00:00:00+00:00,130.042,136.919,128.077,136.144,3454981,0,0
2023-03-01 00:00:00+00:00,136.144,137.912,129.638,132.816,4849725,0,0
2023-04-01 00:00:00+00:00,133.366,136.56,130.568,136.277,1867777,0,0
2023-05-01 00:00:00+00:00,136.112,140.931,133.497,139.33,2329416,0,0
2023-06-01 00:00:00+00:00,139.33,145.073,138.432,144.297,2144704,0,0
2023-07-01 00:00:00+00:00,144.306,144.912,137.239,142.271,2137132,0,0
2023-08-01 00:00:00+00:00,142.279,147.374,141.51,145.527,2064352,0,0
2023-09-01 00:00:00+00:00,145.527,149.709,144.438,149.36,1973290,0,0
2023-10-01 00:00:00+00:00,149.601,151.715,147.318,151.625,2103705,0,0
2023-11-01 00:00:00+00:00,151.611,151.908,146.669,148.19,2132838,0,0
2023-12-01 00:00:00+00:00,148.17,148.346,140.249,141.026,2562666,0,0
2024-01-01 00:00:00+00:00,140.843,148.805,140.811,146.89,2692314,0,0
2024-02-01 00:00:00+00:00,146.887,150.886,145.893,149.971,2623937,0,0
2024-03-01 00:00:00+00:00,149.955,151.972,146.476,151.325,2526147,0,0
2024-04-01 00:00:00+00:00,151.264,160.211,150.81,157.795,2157762,0,0
2024-05-01 00:00:00+00:00,157.797,157.988,151.855,157.265,1631596,0,0
2024-06-01 00:00:00+00:00,157.132,161.282,154.547,160.886,1518893,0,0
2024-07-01 00:00:00+00:00,160.718,161.95,149.605,149.966,2397187,0,0
2024-08-01 00:00:00+00:00,149.91,150.891,141.683,146.202,3613262,0,0
2024-09-01 00:00:00+00:00,146.018,147.209,139.578,143.624,3142940,0,0
2024-10-01 00:00:00+00:00,143.624,153.88,142.972,152.024,2562690,0,0
2024-11-01 00:00:00+00:00,151.958,156.75,149.463,149.633,2579249,0,0
2024-12-01 00:00:00+00:00,149.6,158.085,148.642,157.193,1916444,0,0
2025-01-01 00:00:00+00:00,157.117,158.879,153.712,155.183,2377197,0,0
2025-02-01 00:00:00+00:00,154.774,155.883,148.562,150.571,2533158,0,0
