time,price,type
2024-11-25 21:34:00,153.994,low
2024-11-25 21:52:00,154.196,high
2024-11-25 22:11:00,154.088,low
2024-11-25 22:41:00,154.181,high
2024-11-25 22:47:00,154.078,low
2024-11-25 23:41:00,154.232,high
2024-11-26 00:07:00,154.121,low
2024-11-26 00:31:00,154.19,high
2024-11-26 01:06:00,153.883,low
2024-11-26 01:53:00,154.489,high
2024-11-26 02:40:00,153.935,low
2024-11-26 02:55:00,154.185,high
2024-11-26 03:23:00,153.84,low
2024-11-26 04:07:00,154.222,high
2024-11-26 04:55:00,153.9,low
2024-11-26 05:04:00,154.064,high
2024-11-26 05:23:00,153.756,low
2024-11-26 05:47:00,153.879,high
2024-11-26 06:02:00,153.666,low
2024-11-26 06:37:00,153.914,high
2024-11-26 07:30:00,153.545,low
2024-11-26 09:41:00,154.22,high
2024-11-26 10:32:00,153.789,low
2024-11-26 11:32:00,154.121,high
2024-11-26 12:55:00,153.709,low
2024-11-26 13:28:00,153.869,high
2024-11-26 14:37:00,153.069,low
2024-11-26 14:56:00,153.331,high
2024-11-26 15:04:00,152.984,low
2024-11-26 15:24:00,153.411,high
2024-11-26 15:47:00,153.166,low
2024-11-26 16:15:00,153.596,high
2024-11-26 16:23:00,153.398,low
2024-11-26 16:48:00,153.682,high
2024-11-26 17:00:00,153.367,low
2024-11-26 17:29:00,153.722,high
2024-11-26 17:58:00,153.406,low
2024-11-26 18:20:00,153.683,high
2024-11-26 19:14:00,153.256,low
2024-11-26 19:33:00,153.379,high
2024-11-26 19:50:00,153.254,low
2024-11-26 20:29:00,153.489,high
2024-11-26 21:05:00,153.181,low
2024-11-26 21:30:00,153.391,high
2024-11-26 22:31:00,153.024,low
2024-11-26 22:50:00,153.142,high
2024-11-26 23:22:00,153.009,low
2024-11-26 23:51:00,153.116,high
2024-11-27 00:00:00,152.988,low
2024-11-27 01:28:00,153.235,high
2024-11-27 02:34:00,152.762,low
2024-11-27 03:01:00,153.031,high
2024-11-27 03:55:00,152.505,low
2024-11-27 04:19:00,152.752,high
2024-11-27 06:22:00,152.251,low
2024-11-27 06:36:00,152.358,high
2024-11-27 07:19:00,152.248,low
2024-11-27 07:55:00,152.477,high
2024-11-27 08:30:00,152.113,low
2024-11-27 08:44:00,152.282,high
2024-11-27 10:20:00,151.427,low
2024-11-27 11:02:00,151.895,high
2024-11-27 12:07:00,151.221,low
2024-11-27 12:30:00,151.47,high
2024-11-27 12:46:00,151.271,low
2024-11-27 13:24:00,151.617,high
2024-11-27 14:08:00,151.341,low
2024-11-27 14:20:00,151.552,high
2024-11-27 14:33:00,151.307,low
2024-11-27 15:30:00,151.623,high
2024-11-27 16:30:00,150.998,low
2024-11-27 17:17:00,151.806,high
2024-11-27 17:56:00,150.93,low
2024-11-27 18:15:00,151.375,high
2024-11-27 18:50:00,150.455,low
2024-11-27 19:03:00,150.827,high
2024-11-27 19:22:00,150.532,low
2024-11-27 19:51:00,150.867,high
2024-11-27 20:12:00,150.678,low
2024-11-27 22:20:00,151.188,high
2024-11-27 23:03:00,151.089,low
2024-11-27 23:35:00,151.192,high
