,sml_detection_time,sml_pivot_time,sml_pivot_value,sml_pivot_type
258,2025-02-18 05:35:00+00:00,2025-02-18 05:33:00+00:00,151.859,0.0
259,2025-02-18 05:39:00+00:00,2025-02-18 05:36:00+00:00,151.93,1.0
260,2025-02-18 05:41:00+00:00,2025-02-18 05:39:00+00:00,151.885,0.0
261,2025-02-18 05:48:00+00:00,2025-02-18 05:45:00+00:00,152.03,1.0
262,2025-02-18 05:51:00+00:00,2025-02-18 05:48:00+00:00,151.987,0.0
263,2025-02-18 06:04:00+00:00,2025-02-18 06:01:00+00:00,152.148,1.0
264,2025-02-18 06:08:00+00:00,2025-02-18 06:04:00+00:00,152.069,0.0
265,2025-02-18 06:12:00+00:00,2025-02-18 06:09:00+00:00,152.123,1.0
266,2025-02-18 06:14:00+00:00,2025-02-18 06:13:00+00:00,152.069,0.0
267,2025-02-18 06:17:00+00:00,2025-02-18 06:14:00+00:00,152.109,1.0
268,2025-02-18 06:26:00+00:00,2025-02-18 06:25:00+00:00,152.049,0.0
269,2025-02-18 06:30:00+00:00,2025-02-18 06:27:00+00:00,152.09,1.0
270,2025-02-18 06:32:00+00:00,2025-02-18 06:30:00+00:00,152.039,0.0
271,2025-02-18 06:39:00+00:00,2025-02-18 06:37:00+00:00,152.161,1.0
272,2025-02-18 06:41:00+00:00,2025-02-18 06:40:00+00:00,152.108,0.0
273,2025-02-18 06:50:00+00:00,2025-02-18 06:46:00+00:00,152.198,1.0
274,2025-02-18 07:00:00+00:00,2025-02-18 06:57:00+00:00,152.136,0.0
