time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,up_down,pivot
2025-02-17 18:42:00,151.422,151.424,151.42,151.421,15,0,0,151.41344999999998,False,
2025-02-17 18:43:00,151.421,151.43,151.42,151.425,30,2,0,151.41320000000002,False,
2025-02-17 18:44:00,151.425,151.44,151.422,151.44,38,0,0,151.41490000000002,True,
2025-02-17 18:45:00,151.44,151.44,151.42,151.429,54,0,0,151.416,True,
2025-02-17 18:46:00,151.429,151.439,151.428,151.435,21,0,0,151.41615000000002,True,
2025-02-17 18:47:00,151.435,151.44,151.435,151.44,17,0,0,151.41619999999998,True,
2025-02-17 18:48:00,151.44,151.445,151.44,151.442,12,1,0,151.4173,True,
2025-02-17 18:49:00,151.442,151.442,151.438,151.44,10,1,0,151.41879999999998,True,
2025-02-17 18:50:00,151.44,151.443,151.428,151.44,26,2,0,151.42024999999998,True,
2025-02-17 18:51:00,151.44,151.44,151.435,151.436,13,2,0,151.42165,True,
2025-02-17 18:52:00,151.437,151.437,151.419,151.429,18,2,0,151.42285,True,
2025-02-17 18:53:00,151.429,151.441,151.428,151.441,15,0,0,151.42495,True,
2025-02-17 18:54:00,151.441,151.442,151.44,151.44,10,1,0,151.4262,True,
2025-02-17 18:55:00,151.44,151.442,151.43,151.431,28,2,0,151.42680000000001,True,
2025-02-17 18:56:00,151.431,151.431,151.426,151.427,22,1,0,151.42725000000002,True,
2025-02-17 18:57:00,151.427,151.434,151.427,151.431,22,2,0,151.42815000000002,True,
2025-02-17 18:58:00,151.431,151.435,151.428,151.434,23,1,0,151.43064999999999,True,
2025-02-17 18:59:00,151.433,151.44,151.431,151.439,41,1,0,151.43275,True,
2025-02-17 19:00:00,151.439,151.442,151.436,151.442,13,2,0,151.43419999999998,True,
2025-02-17 19:01:00,151.442,151.442,151.432,151.439,19,2,0,151.43505,True,
2025-02-17 19:02:00,151.438,151.442,151.435,151.439,21,1,0,151.43595,True,
2025-02-17 19:03:00,151.439,151.442,151.439,151.441,7,1,0,151.43675,True,
2025-02-17 19:04:00,151.441,151.441,151.43,151.433,24,2,0,151.4364,False,
2025-02-17 19:05:00,151.433,151.437,151.431,151.434,16,0,0,151.43665000000001,True,
2025-02-17 19:06:00,151.434,151.444,151.432,151.441,24,1,0,151.43694999999997,True,
2025-02-17 19:07:00,151.441,151.442,151.436,151.438,23,1,0,151.43685,False,
2025-02-17 19:08:00,151.438,151.442,151.437,151.441,13,0,0,151.4368,False,
